Column1,2013,2014,2015,2016,2017,2018,
GNI_ PC,15270,14990,14140,13420,13290,14670,
GNI _Prct_Increase,4.539204027,4.539204027,4.539204027,4.539204027,4.539204027,4.539204027,
GDP_PC,22439.27836,22786.6556,22688.01003,22874.14942,24248.86076,25222.52778,
GDP ,3.94292E+11,4.04667E+11,4.07689E+11,4.16517E+11,4.47887E+11,4.72397E+11,
FDI_Prct_GDP,7.480616564,9.110349292,8.632214366,4.847693816,2.107023512,2.039432009,
FDI_Prct_GDP,2.94955E+12,3.68666E+12,3.51926E+12,2.01915E+12,9.43709E+11,9.63421E+11,
Service_Imp,15541781459,14411333969,13094880116,12839803476,13589659505,14269358753,
Goods_Imp,74754501796,68598849439,58608965865,55854733591,61499962760,70782959178,
Imp_Indx,428.767966,393.642332,337.1004233,317.6173383,351.5521679,400.866932,
Human_Cap_Indx,,,,,0.674,,
Male_Unemp_Prct,7.181000233,7.126999855,7.142000198,7.264999866,7.459000111,7.861000061,8.293000221
Fem_Unemp_Prct,18.31640053,18.64019966,19.1711998,17.10390091,16.53019905,15.85639954,
