date_reported,clsd,offense,location,theft_code,hate_bias,dayofweek,cpd_neighborhood,weapons,victim_age,victim_race,suspect_age,suspect_race
2/16/2019 10:05,J--CLOSED,RAPE,02-MULTI FAMILY,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,ROSELAWN,99 - NONE,ADULT (18+),BLACK,26-30,BLACK
4/4/2019 16:05,Z--EARLY CLOSED,TAKING THE IDENTITY OF ANOTHER,01-SINGLE FAMILY HOME,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,EAST WALNUT HILLS,99 - NONE,31-40,BLACK,UNKNOWN,NA
2/12/2019 17:25,D--VICTIM REFUSED TO COOPERATE,RAPE,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,TUESDAY,NORTH AVONDALE,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),BLACK,18-25,BLACK
2/12/2019 10:07,J--CLOSED,RAPE,29-GAS STATION,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,CAMP  WASHINGTON,"20 - KNIFE/CUTTING INSTRUMENT (ICEPICK, AX, ETC.)",ADULT (18+),WHITE,UNKNOWN,NA
2/20/2019 15:04,J--CLOSED,THEFT,47-STREET,24O-MOTOR VEHICLE THEFT,N--NO BIAS/NOT APPLICABLE,TUESDAY,NA,99 - NONE,18-25,WHITE,UNKNOWN,NA
1/21/2019 11:35,Z--EARLY CLOSED,THEFT,47-STREET,23F-THEFT FROM MOTOR VEHICLE,N--NO BIAS/NOT APPLICABLE,SUNDAY,WALNUT HILLS,99 - NONE,41-50,WHITE,UNKNOWN,NA
3/15/2019 14:56,H--WARRANT ISSUED,CRIMINAL DAMAGING/ENDANGERING,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,TUESDAY,OAKLEY,99 - NONE,51-60,WHITE,31-40,WHITE
3/27/2019 4:22,Z--EARLY CLOSED,VEHICULAR VANDALISM,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,NA,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",UNKNOWN,NA,UNKNOWN,NA
3/29/2019 15:24,Z--EARLY CLOSED,THEFT,38-VARIETY/CONVENIENCE STORE,23C-SHOPLIFTING,N--NO BIAS/NOT APPLICABLE,FRIDAY,WALNUT HILLS,99 - NONE,UNKNOWN,NA,26-30,BLACK
1/10/2019 13:07,J--CLOSED,THEFT,02-MULTI FAMILY,23H-ALL OTHER LARCENY,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,18-25,UNKNOWN,UNKNOWN,NA
4/15/2019 8:24,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,02-MULTI FAMILY APARTMENT,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,31-40,WHITE,UNKNOWN,NA
2/7/2019 0:52,J--CLOSED,ASSAULT,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,CLIFTON/UNIVERSITY HEIGHTS,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",18-25,BLACK,UNKNOWN,BLACK
1/21/2019 11:35,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,47-STREET,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,WALNUT HILLS,99 - NONE,41-50,WHITE,UNKNOWN,NA
1/5/2019 20:15,Z--EARLY CLOSED,THEFT,33-DRUGSTORE,23C-SHOPLIFTING,N--NO BIAS/NOT APPLICABLE,SATURDAY,CORRYVILLE,99 - NONE,UNKNOWN,NA,26-30,BLACK
2/19/2019 18:59,Z--EARLY CLOSED,THEFT,39-DEPARTMENT/DISCOUNT STORE,23C-SHOPLIFTING,N--NO BIAS/NOT APPLICABLE,TUESDAY,WALNUT HILLS,U - UNKNOWN,UNKNOWN,NA,UNKNOWN,BLACK
2/20/2019 16:00,J--CLOSED,THEFT,39-DEPARTMENT/DISCOUNT STORE,23C-SHOPLIFTING,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,WALNUT HILLS,U - UNKNOWN,UNKNOWN,NA,31-40,BLACK
4/14/2019 10:43,Z--EARLY CLOSED,CRIMINAL DAMAGING/ENDANGERING,48-PARKING LOT,NA,N--NO BIAS/NOT APPLICABLE,SUNDAY,CLIFTON/UNIVERSITY HEIGHTS,99 - NONE,26-30,ASIAN/PACIFIC ISLAND,UNKNOWN,NA
4/22/2019 7:49,J--CLOSED,RAPE,46-FIELD/WOODS,NA,N--NO BIAS/NOT APPLICABLE,SATURDAY,KENNEDY  HEIGHTS,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),WHITE,UNKNOWN,NA
1/24/2019 18:43,J--CLOSED,RAPE,02-MULTI FAMILY,NA,N--NO BIAS/NOT APPLICABLE,WEDNESDAY,EVANSTON,"40 - PERSONAL WEAPONS (HANDS, FEET, TEETH, ETC.)",ADULT (18+),BLACK,UNKNOWN,NA
3/7/2019 6:08,J--CLOSED,RAPE,02-MULTI FAMILY,NA,N--NO BIAS/NOT APPLICABLE,THURSDAY,NORTH FAIRMOUNT,"30 - BLUNT OBJECT (CLUB, HAMMER, ETC.)",ADULT (18+),BLACK,18-25,BLACK
4/19/2019 11:32,Z--EARLY CLOSED,THEFT,47-STREET,23B-PURSE-SNATCHING,N--NO BIAS/NOT APPLICABLE,FRIDAY,EAST WALNUT HILLS,99 - NONE,51-60,WHITE,31-40,BLACK
